2484898766 function calls (2481869999 primitive calls) in 746.877 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   116205    0.110    0.000    0.195    0.000 _parallel_backends.py:389(configure)
   116204    0.119    0.000    0.276    0.000 _parallel_backends.py:513(effective_n_jobs)
 11620500    3.440    0.000  350.019    0.000 _parallel_backends.py:594(__init__)
 11620500    0.631    0.000    0.631    0.000 _parallel_backends.py:599(get)
   116205    0.018    0.000    0.018    0.000 _parallel_backends.py:634(__init__)
   116205    0.033    0.000    0.045    0.000 _parallel_backends.py:70(configure)
   116205    0.010    0.000    0.010    0.000 _parallel_backends.py:80(start_call)
   116205    0.010    0.000    0.010    0.000 _parallel_backends.py:83(stop_call)
   116205    0.009    0.000    0.009    0.000 _parallel_backends.py:86(terminate)
 11736705    0.776    0.000    0.776    0.000 _parallel_backends.py:89(compute_batch_size)
 11620500    0.810    0.000    0.810    0.000 _parallel_backends.py:93(batch_completed)
       24    0.000    0.000    0.000    0.000 _pick.py:4(pick_bool)
        4    0.000    0.000    0.000    0.000 _ratio.py:81(ratio_reduce)
        4    0.000    0.000    0.000    0.000 _ratio.py:95(<listcomp>)
      402    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
      402    0.001    0.000    0.001    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:425(__init__)
      201    0.000    0.000    0.001    0.000 _ufunc_config.py:429(__enter__)
      201    0.000    0.000    0.000    0.000 _ufunc_config.py:434(__exit__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        8    0.000    0.000    0.000    0.000 _wrap.py:10(words)
        4    0.000    0.000    0.000    0.000 _wrap.py:20(divide_line)
   931546    0.165    0.000    0.787    0.000 abc.py:117(__instancecheck__)
814565/814548    0.125    0.000    0.326    0.000 abc.py:121(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 ansi.py:111(__init__)
